userID,itemID,played
u55351001,g35322304,1
u70666506,g49368897,1
u18612571,g73495588,1
u34283088,g68047320,1
u16220374,g51234623,1
u01499286,g25723374,1
u73063505,g58025004,1
u29223775,g69033010,1
u44401308,g46446145,1
u45027672,g02903254,1
u33908704,g66086214,1
u27998358,g21544048,1
u36214177,g86787099,1
u73747744,g23131507,1
u97936673,g65055990,1
u25365202,g45124396,1
u08631099,g74380807,1
u52584928,g46738138,1
u09520763,g65420497,1
u04893836,g76381409,1
u58381940,g03420056,1
u85007552,g13492762,1
u48369340,g35678007,1
u79530461,g13492762,1
u44157494,g28405264,1
u70118164,g60903743,1
u21352780,g92017077,1
u74354158,g98792097,1
u67890036,g11225866,1
u90421779,g02428379,1
u63577652,g39879078,1
u80585251,g32642694,1
u17490349,g52626909,1
u58591954,g40499587,1
u09958308,g93325439,1
u58917734,g97931549,1
u43617344,g54858064,1
u83284468,g93882251,1
u28405098,g18827702,1
u47603874,g58862435,1
u35984505,g48118089,1
u12891480,g89200271,1
u48290481,g97574940,1
u37438991,g66086214,1
u14867857,g42729032,1
u98010359,g48657523,1
u33597806,g78239118,1
u63248104,g15886508,1
u87386199,g95225789,1
u12492690,g85442587,1
u19771394,g01176191,1
u19599296,g60926645,1
u52773685,g00777759,1
u12905306,g79333823,1
u32538708,g46421079,1
u26899141,g10440938,1
u70005241,g65175011,1
u70647035,g49368897,1
u70645303,g51491804,1
u47904373,g46300937,1
u90262380,g01549519,1
u07307818,g70003539,1
u02211193,g90538928,1
u27067398,g68626659,1
u88835772,g06324638,1
u34999115,g35870742,1
u15711329,g32303199,1
u50987399,g83595955,1
u72503354,g36122744,1
u89607081,g77112337,1
u55833077,g48512616,1
u88806757,g12000126,1
u01283011,g40938967,1
u34031843,g61225634,1
u09936668,g83221585,1
u65152844,g83425645,1
u03242465,g65055990,1
u12556110,g79499736,1
u73963959,g27491100,1
u90109995,g35449408,1
u95210326,g47344447,1
u60034827,g58014324,1
u35900932,g55933232,1
u64823722,g59382127,1
u32441769,g68302537,1
u27420825,g43698728,1
u12979095,g57932017,1
u83445194,g23131507,1
u47037823,g57834425,1
u39020317,g11225866,1
u51637484,g28788625,1
u29843563,g24550764,1
