userID,itemID,played
u87534292,g57834425,1
u00914251,g61913894,1
u44824365,g16586637,1
u69168994,g51450658,1
u74934282,g45232069,1
u02906788,g36958384,1
u35844632,g92018877,1
u08586826,g36769937,1
u92465525,g01549519,1
u50690284,g05349653,1
u34690083,g08001721,1
u79438356,g04477361,1
u84107660,g11225866,1
u24256911,g67274965,1
u23937279,g31190276,1
u15844193,g55567630,1
u66008466,g12667678,1
u79801558,g27370047,1
u42207476,g26437139,1
u81077786,g91799982,1
u08258862,g59317800,1
u77378317,g87166472,1
u51062008,g19425343,1
u79025668,g05031080,1
u89703849,g73173393,1
u55093422,g54979645,1
u29576207,g57869201,1
u05088496,g00125299,1
u89482132,g59638098,1
u39599062,g75228197,1
u83720525,g31948580,1
u68722473,g75513928,1
u52693207,g99934462,1
u69957279,g51770536,1
u76695873,g49636917,1
u22769746,g22927590,1
u73312807,g17074600,1
u44594988,g91909847,1
u96980242,g83146398,1
u25042283,g08346452,1
u85288110,g54619657,1
u69394986,g59682009,1
u66399737,g73594265,1
u08942444,g84770347,1
u26800137,g68547272,1
u29718959,g76960634,1
u62402243,g28846994,1
u46285135,g78336897,1
u90784003,g90898833,1
u84685369,g22161219,1
u11194965,g58464197,1
u61089862,g72460998,1
u33951621,g77806076,1
u23335732,g03167855,1
u99613619,g10946181,1
u98484614,g66296428,1
u21261196,g31800990,1
u35298149,g61225634,1
u56399548,g35296108,1
u59370809,g31712310,1
u55775774,g05914065,1
u26651259,g36222633,1
u23210251,g85900991,1
u17224257,g85094839,1
u49076616,g48657523,1
u53420470,g04830062,1
u16116202,g61958781,1
u58246803,g79499736,1
u50987399,g82616432,1
u67143531,g14525638,1
u93655272,g76120150,1
u25438529,g47205010,1
u97999106,g61264440,1
u98443157,g61214579,1
u54507745,g41331921,1
u51175241,g90154665,1
u35666144,g94005519,1
u52585979,g38434648,1
u15827297,g69033010,1
u80016522,g41348232,1
u61755488,g59271404,1
u65526955,g35972218,1
u79311898,g39055346,1
u53316375,g48657523,1
u61948708,g48512616,1
u76337229,g24822320,1
u42896872,g93472243,1
u85921592,g50163420,1
u20132431,g12460730,1
u00715488,g28303713,1
u60564624,g70466974,1
u62593459,g88216046,1
u30647811,g46446145,1
u98158963,g24479985,1
u13620759,g84207332,1
u46422197,g93941352,1
u53543007,g77400036,1
u96364924,g29752784,1
u57027153,g46950698,1
u81310029,g64574718,1
u70835980,g17807252,1
u60584353,g85103579,1
u57130814,g42907287,1
u18198302,g79333823,1
u29004052,g86787099,1
u35434324,g05339526,1
u29419712,g67139666,1
u25657821,g42403034,1
u14083278,g15217706,1
u84062881,g22839997,1
u15763015,g85026274,1
u81779282,g35449408,1
u67081608,g03454293,1
u46422197,g11862712,1
u80165894,g23403411,1
u20778676,g34765721,1
u31052108,g23885183,1
u67084531,g49208981,1
u50097048,g10406824,1
u60956035,g62805978,1
u54669683,g29326880,1
u11593267,g54087643,1
u64398351,g79866169,1
u89478667,g92454558,1
u94977887,g73265847,1
u66968893,g89809648,1
u68225433,g52414449,1
u06535577,g48350599,1
u36025454,g15536656,1
u96019728,g06097413,1
u60473832,g02141122,1
u42702163,g83093985,1
u15111837,g22386746,1
u29419712,g40372626,1
u02906788,g03136155,1
u49817851,g35331676,1
u93087874,g16952539,1
u42921970,g81608348,1
u62610693,g22161219,1
u86837249,g33872505,1
u91640743,g06097413,1
u61082324,g16952539,1
u82502934,g78970626,1
u66004745,g52187292,1
u10402813,g02637258,1
u08730023,g91024164,1
u31609337,g10406824,1
u92134089,g32886144,1
u76745785,g43692578,1
u10804532,g59544573,1
u11464339,g06045292,1
u84554687,g28740995,1
u58947884,g02428379,1
u93915033,g38617825,1
u85183634,g57734956,1
u37959553,g66220144,1
u52695457,g89492775,1
u85588071,g10259243,1
u78578337,g45519076,1
u75597994,g79333823,1
u99590760,g05349653,1
u38718529,g18283520,1
u95213459,g84254492,1
u26651259,g02903254,1
u72952508,g67293287,1
u37274930,g11919936,1
u82276354,g18658878,1
u92083302,g24982722,1
u27823790,g49593949,1
u16220374,g25077590,1
u39534714,g91799982,1
u36252269,g67366154,1
u87799097,g61225634,1
u84512016,g76810548,1
u61150089,g98217589,1
u97099051,g02230168,1
u62365327,g94132851,1
u31135608,g58129520,1
u69137549,g47086763,1
u11400327,g82994209,1
u90945829,g85252310,1
u92729375,g03706634,1
u54111399,g37198629,1
u68530602,g06324638,1
u25180573,g39366834,1
u74426406,g83757895,1
u67309742,g51283481,1
u64030091,g40499587,1
u24541889,g47446961,1
u20316991,g66324364,1
u69861266,g56626398,1
u14407800,g25077590,1
u34600363,g74210041,1
u31605448,g47290851,1
u06266052,g64348065,1
u02402833,g54465548,1
u52498232,g72683624,1
u42411555,g02637258,1
u33908008,g09670581,1
u69825040,g46446145,1
u31548470,g49387258,1
u64157292,g16653801,1
u36610257,g41896919,1
u75552947,g33598656,1
u48340663,g79333823,1
u69465618,g36958384,1
u90130076,g37899466,1
u45711549,g42862258,1
u32456321,g99674775,1
u04695380,g26730287,1
u31245260,g80441672,1
u74573586,g12911763,1
u36078563,g75160975,1
u03887694,g82275622,1
u06109427,g67038900,1
u60975696,g29494592,1
u33085406,g10876271,1
u37098825,g06378804,1
u14981323,g22868280,1
u08135758,g24809309,1
u22096553,g00663854,1
u46685808,g76745472,1
u66660782,g16087475,1
u58998893,g54703242,1
u33994300,g41623816,1
u17759890,g34412552,1
u55309834,g53908452,1
u78532330,g68302537,1
u45713244,g03136155,1
u25036365,g89793168,1
u09833175,g10879560,1
u59568450,g15870705,1
u72460514,g46287090,1
u21233168,g47087082,1
u02507193,g73265847,1
u42025067,g19475656,1
u03516535,g27370047,1
u89855328,g70274773,1
u71346354,g01914885,1
u92905321,g04025903,1
u19719654,g15881340,1
u58912859,g37446712,1
u29017568,g36558912,1
u47470615,g34477578,1
u79574037,g53223749,1
u54479503,g37422652,1
u50086910,g28303713,1
u64368070,g95116279,1
u02276429,g49368897,1
u03203266,g51367911,1
u15250211,g21037002,1
u82528197,g07804237,1
u90509755,g36122744,1
u29302274,g83424757,1
u95484217,g96083451,1
u49842960,g21037002,1
u41227532,g59109370,1
u32771256,g10932727,1
u61791810,g40551467,1
u19057918,g41896919,1
u02126281,g62850718,1
u32158093,g82317851,1
u21934617,g32028748,1
u32473559,g10773791,1
u66004745,g65734768,1
u99921366,g75632390,1
u18846988,g83595955,1
u18406102,g61465953,1
u91673094,g83853612,1
u37103371,g56396594,1
u30258510,g68302537,1
u19599296,g52947714,1
u97799002,g52620301,1
u73074491,g54619657,1
u88361580,g68135850,1
u21233168,g29741733,1
u08898885,g27545941,1
u24898713,g10444367,1
u64337644,g26556480,1
u79303552,g03128638,1
u05692952,g65773934,1
u91343803,g81456217,1
u04836696,g41141819,1
u89365224,g36122744,1
u20237145,g18542484,1
u93124412,g34193208,1
u25150038,g61076572,1
u67243762,g04830062,1
u97764793,g05974045,1
u42166729,g60416652,1
u62757983,g32799642,1
u57035589,g53715495,1
u02211193,g61264440,1
u85269168,g18111735,1
u76404562,g81858269,1
u70389962,g76120150,1
u57877998,g71192260,1
u36098188,g17807252,1
u37555146,g26192910,1
u77668657,g84720805,1
u76625956,g65905047,1
u80541052,g51560220,1
u81055090,g89809648,1
u93072491,g74942396,1
u06746174,g26710111,1
u87165125,g27491100,1
u22286703,g79604681,1
u50086910,g63870321,1
u24610597,g35296108,1
u79381473,g79499736,1
u82943357,g24550764,1
u66004745,g68959096,1
u30207117,g62850718,1
u50584769,g09203234,1
u12502495,g66296428,1
u46075637,g48556857,1
u74896566,g17807252,1
u65883423,g78811835,1
u77351829,g43689131,1
u17884154,g60053245,1
u19075325,g23106667,1
u73735056,g83737994,1
u45635865,g79819183,1
u91862741,g78355069,1
u47732229,g92237283,1
u35871341,g47669117,1
u61482504,g67366154,1
u36368445,g53927674,1
u55093422,g10259243,1
u63686582,g88847485,1
u63229947,g15536656,1
u67143531,g48657523,1
u00791934,g51283481,1
u73273194,g17612425,1
u51062008,g79333823,1
u20566880,g17604638,1
u24139989,g60355697,1
u99615598,g97650885,1
u51872234,g91177309,1
u04695380,g85442587,1
u50987399,g05572229,1
u69158652,g38436583,1
u90087391,g60355697,1
u26800137,g97784906,1
u54511224,g24550764,1
u10803498,g30891154,1
u83845547,g15371817,1
u26810316,g29592534,1
u57508791,g41348232,1
u67932163,g17361564,1
u46440137,g99526401,1
u46422197,g08561999,1
u50754309,g67429053,1
u79289617,g62805978,1
u81058112,g96083451,1
u26246234,g70906782,1
u45713244,g82220080,1
u03606376,g75307137,1
u31712305,g81608348,1
u29861752,g70011042,1
u72478974,g22284227,1
u85801219,g19179172,1
u96733126,g16246767,1
u80880312,g60949442,1
u78875726,g58479043,1
u45884104,g67038900,1
u55525583,g82317851,1
u17061439,g95765068,1
u79483995,g66296428,1
u26022408,g15714062,1
u54274967,g75447996,1
u11977499,g39366834,1
u79621856,g77859458,1
u05925641,g82874353,1
u32383577,g58649509,1
u90013638,g70709452,1
u35345442,g57843499,1
u01768310,g05463839,1
u03233576,g25612121,1
u58504548,g37782017,1
u63606659,g37899539,1
u61237602,g79499736,1
u52662370,g54634449,1
u18556594,g90898833,1
u62365327,g36958384,1
u50936984,g00657913,1
u74137551,g24705380,1
u55294871,g19831304,1
u09660080,g93969631,1
u79355096,g01086845,1
u02129594,g35155801,1
u80064824,g92468669,1
u03749090,g00083675,1
u51581636,g12946119,1
u26345786,g88216046,1
u27754940,g89627546,1
u82727393,g92522857,1
u82999931,g32989876,1
u47661995,g71822589,1
u66568694,g15035813,1
u84107660,g65055990,1
u47129563,g38914136,1
u38871576,g28788625,1
u93683322,g18223055,1
u73487372,g41331921,1
u83427263,g75513928,1
u26933725,g69693461,1
u09703080,g08020339,1
u03431726,g90301006,1
u31245260,g35073657,1
u30730456,g95842407,1
u17280357,g07047848,1
u92381286,g03280058,1
u66376398,g64568215,1
u53134535,g35549655,1
u56788026,g83425645,1
u18506333,g80979867,1
u42100273,g40485117,1
u22346040,g00602342,1
u17484711,g85642901,1
u61683676,g39930645,1
u27205339,g98118815,1
u11960893,g02428379,1
u54654852,g89492775,1
u66968893,g53223749,1
u03085578,g96831210,1
u32706320,g59317800,1
u23484702,g75228197,1
u95036303,g75498630,1
u51545733,g03420056,1
u04759919,g35984506,1
u70160774,g45468788,1
u81349942,g84476497,1
u14125630,g65055990,1
u88835772,g90427081,1
u39532419,g42142445,1
u62203024,g74412462,1
u36137576,g35331676,1
u81914083,g02637258,1
u04430455,g38024861,1
u17513326,g82616432,1
u33316686,g17807252,1
u90733484,g91879395,1
u78081211,g16586637,1
u79131192,g46602286,1
u31201511,g38724809,1
u01822396,g34397868,1
u45818240,g90581288,1
u26102740,g71795407,1
u75222770,g99830215,1
u55344934,g44130855,1
u83206928,g35984506,1
u37501198,g83221585,1
u63952530,g73594265,1
u09796001,g08143802,1
u38860000,g01660600,1
u25087987,g86213381,1
u70734575,g54634449,1
u03124291,g75160975,1
u89482132,g53996086,1
u30530866,g63870321,1
u89855328,g69433247,1
u75148448,g30541991,1
u82868412,g48753510,1
u09621573,g35449408,1
u64934997,g83517324,1
u44065947,g39055346,1
u57508791,g86195002,1
u02211193,g74469956,1
u29615491,g47205010,1
u21483313,g35549655,1
u15930213,g99526401,1
u07426800,g16073667,1
u21451966,g89492775,1
u90742229,g78239118,1
u15010009,g14867677,1
u85865115,g10126403,1
u29006683,g26556480,1
u20194412,g11862712,1
u70628300,g93941352,1
u92437348,g35331676,1
u64463975,g97014047,1
u05548301,g91879395,1
u00584629,g97528772,1
u49961321,g68135850,1
u09842258,g16320816,1
u70694256,g70232376,1
u17081932,g65794132,1
u62201021,g45328688,1
u11760972,g85021436,1
u22185524,g69577828,1
u13941749,g43636148,1
u27257486,g05463839,1
u88078966,g17807252,1
u98268996,g98707416,1
u40780359,g52540758,1
u22509254,g99830215,1
u26046733,g66086214,1
u65501677,g83607000,1
u17313321,g61264440,1
u77305148,g29494592,1
u53954956,g85252310,1
u59857204,g15339821,1
u75222565,g70742092,1
u81014462,g16008530,1
u28260148,g47344447,1
u70594237,g72460998,1
